true_key,pred_key,margin,n_candidates,true_sim,pred_sim,address,train_photos_true,train_photos_pred,same_address
Ballonggatan|3,Ballonggatan|2,0.0002524852752685547,2,0.9966772794723511,0.9969297647476196,Ballonggatan,3,2,True
Bergslagsvägen 3-55 Åkeshov-Brommaplan|34,Bergslagsvägen 3-55 Åkeshov-Brommaplan|30,0.00026029348373413086,35,0.9984008073806763,0.9986611008644104,Bergslagsvägen 3-55 Åkeshov-Brommaplan,7,10,True
Bergslagsvägen 3-55 Åkeshov-Brommaplan|35,Bergslagsvägen 3-55 Åkeshov-Brommaplan|12,0.0008918046951293945,35,0.998286247253418,0.9991780519485474,Bergslagsvägen 3-55 Åkeshov-Brommaplan,9,10,True
Bergslagsvägen 3-55 Åkeshov-Brommaplan|4,Bergslagsvägen 3-55 Åkeshov-Brommaplan|24,9.894371032714844e-06,35,0.9984400272369385,0.9984499216079712,Bergslagsvägen 3-55 Åkeshov-Brommaplan,8,7,True
Bergslagsvägen 3-55 Åkeshov-Brommaplan|5,Bergslagsvägen 3-55 Åkeshov-Brommaplan|8,0.0007143020629882812,35,0.9977515339851379,0.9984658360481262,Bergslagsvägen 3-55 Åkeshov-Brommaplan,10,7,True
Bergslagsvägen 3-55 Åkeshov-Brommaplan|6,Bergslagsvägen 3-55 Åkeshov-Brommaplan|25,0.0002942085266113281,35,0.9988243579864502,0.9991185665130615,Bergslagsvägen 3-55 Åkeshov-Brommaplan,7,10,True
Bergslagsvägen Ängby-Åkeshov|1,Bergslagsvägen Ängby-Åkeshov|10,0.002029240131378174,34,0.9962479472160339,0.9982771873474121,Bergslagsvägen Ängby-Åkeshov,6,7,True
Bergslagsvägen Ängby-Åkeshov|10,Bergslagsvägen Ängby-Åkeshov|11,0.00021761655807495117,34,0.9992405772209167,0.9994581937789917,Bergslagsvägen Ängby-Åkeshov,7,7,True
Bergslagsvägen Ängby-Åkeshov|11,Bergslagsvägen Ängby-Åkeshov|16,0.00015985965728759766,34,0.9989786148071289,0.9991384744644165,Bergslagsvägen Ängby-Åkeshov,7,8,True
Bergslagsvägen Ängby-Åkeshov|12,Bergslagsvägen Ängby-Åkeshov|26,0.001559615135192871,34,0.9979983568191528,0.9995579719543457,Bergslagsvägen Ängby-Åkeshov,6,8,True
Bergslagsvägen Ängby-Åkeshov|13,Bergslagsvägen Ängby-Åkeshov|11,0.00017851591110229492,34,0.9985607266426086,0.9987392425537109,Bergslagsvägen Ängby-Åkeshov,7,7,True
Bergslagsvägen Ängby-Åkeshov|14,Bergslagsvägen Ängby-Åkeshov|26,0.00020736455917358398,34,0.9990140199661255,0.9992213845252991,Bergslagsvägen Ängby-Åkeshov,8,8,True
Bergslagsvägen Ängby-Åkeshov|15,Bergslagsvägen Ängby-Åkeshov|28,0.0009033083915710449,34,0.9984683394432068,0.9993716478347778,Bergslagsvägen Ängby-Åkeshov,8,8,True
Bergslagsvägen Ängby-Åkeshov|16,Bergslagsvägen Ängby-Åkeshov|19,0.0010559558868408203,34,0.9981549978256226,0.9992109537124634,Bergslagsvägen Ängby-Åkeshov,8,7,True
Bergslagsvägen Ängby-Åkeshov|18,Bergslagsvägen Ängby-Åkeshov|21,0.0007174015045166016,34,0.9980819225311279,0.9987993240356445,Bergslagsvägen Ängby-Åkeshov,7,7,True
Bergslagsvägen Ängby-Åkeshov|19,Bergslagsvägen Ängby-Åkeshov|14,0.000779271125793457,34,0.998913049697876,0.9996923208236694,Bergslagsvägen Ängby-Åkeshov,7,8,True
Bergslagsvägen Ängby-Åkeshov|2,Bergslagsvägen Ängby-Åkeshov|8,0.0011230707168579102,34,0.997852087020874,0.9989751577377319,Bergslagsvägen Ängby-Åkeshov,7,7,True
Bergslagsvägen Ängby-Åkeshov|21,Bergslagsvägen Ängby-Åkeshov|20,0.0005056858062744141,34,0.998793363571167,0.9992990493774414,Bergslagsvägen Ängby-Åkeshov,7,8,True
Bergslagsvägen Ängby-Åkeshov|22,Bergslagsvägen Ängby-Åkeshov|25,0.004929184913635254,34,0.9844999313354492,0.9894291162490845,Bergslagsvägen Ängby-Åkeshov,8,7,True
Bergslagsvägen Ängby-Åkeshov|24,Bergslagsvägen Ängby-Åkeshov|25,6.645917892456055e-05,34,0.9990641474723816,0.9991306066513062,Bergslagsvägen Ängby-Åkeshov,9,7,True
Bergslagsvägen Ängby-Åkeshov|25,Bergslagsvägen Ängby-Åkeshov|24,0.00016683340072631836,34,0.9987327456474304,0.9988995790481567,Bergslagsvägen Ängby-Åkeshov,7,9,True
Bergslagsvägen Ängby-Åkeshov|26,Bergslagsvägen Ängby-Åkeshov|28,0.00038427114486694336,34,0.9982254505157471,0.998609721660614,Bergslagsvägen Ängby-Åkeshov,8,8,True
Bergslagsvägen Ängby-Åkeshov|27,Bergslagsvägen Ängby-Åkeshov|31,0.001376509666442871,34,0.9973880052566528,0.9987645149230957,Bergslagsvägen Ängby-Åkeshov,8,8,True
Bergslagsvägen Ängby-Åkeshov|28,Bergslagsvägen Ängby-Åkeshov|27,0.0029903650283813477,34,0.9963274002075195,0.9993177652359009,Bergslagsvägen Ängby-Åkeshov,8,8,True
Bergslagsvägen Ängby-Åkeshov|3,Bergslagsvägen Ängby-Åkeshov|4,0.001303553581237793,34,0.9962617754936218,0.9975653290748596,Bergslagsvägen Ängby-Åkeshov,7,7,True
Bergslagsvägen Ängby-Åkeshov|30,Bergslagsvägen Ängby-Åkeshov|33,0.0015781521797180176,34,0.9961713552474976,0.9977495074272156,Bergslagsvägen Ängby-Åkeshov,6,8,True
Bergslagsvägen Ängby-Åkeshov|32,Bergslagsvägen Ängby-Åkeshov|34,9.119510650634766e-06,34,0.9982963800430298,0.9983054995536804,Bergslagsvägen Ängby-Åkeshov,8,8,True
Bergslagsvägen Ängby-Åkeshov|33,Bergslagsvägen Ängby-Åkeshov|32,0.00047016143798828125,34,0.9981746673583984,0.9986448287963867,Bergslagsvägen Ängby-Åkeshov,8,8,True
Bergslagsvägen Ängby-Åkeshov|4,Bergslagsvägen Ängby-Åkeshov|3,9.548664093017578e-05,34,0.9989632368087769,0.999058723449707,Bergslagsvägen Ängby-Åkeshov,7,7,True
Bergslagsvägen Ängby-Åkeshov|5,Bergslagsvägen Ängby-Åkeshov|3,0.0006666779518127441,34,0.9982519745826721,0.9989186525344849,Bergslagsvägen Ängby-Åkeshov,7,7,True
Bergslagsvägen Ängby-Åkeshov|6,Bergslagsvägen Ängby-Åkeshov|5,0.0008280277252197266,34,0.9968199729919434,0.9976480007171631,Bergslagsvägen Ängby-Åkeshov,7,7,True
Bergslagsvägen Ängby-Åkeshov|7,Bergslagsvägen Ängby-Åkeshov|2,0.00027495622634887695,34,0.9985865354537964,0.9988614916801453,Bergslagsvägen Ängby-Åkeshov,7,7,True
Bergslagsvägen Ängby-Åkeshov|9,Bergslagsvägen Ängby-Åkeshov|26,0.00044292211532592773,34,0.9985135793685913,0.9989565014839172,Bergslagsvägen Ängby-Åkeshov,7,8,True
Birger Jarls gatan 84 - System Bolaget|2,Birger Jarls gatan 84 - System Bolaget|5,0.003852367401123047,5,0.9941327571868896,0.9979851245880127,Birger Jarls gatan 84 - System Bolaget,1,1,True
Birger Jarls gatan 84 - System Bolaget|3,Birger Jarls gatan 84 - System Bolaget|5,0.0010715723037719727,5,0.9967468976974487,0.9978184700012207,Birger Jarls gatan 84 - System Bolaget,1,1,True
Birger Jarls gatan 84 - System Bolaget|4,Birger Jarls gatan 84 - System Bolaget|3,0.0013265013694763184,5,0.9966549277305603,0.9979814291000366,Birger Jarls gatan 84 - System Bolaget,1,1,True
Birger Jarlsgatan 18. Stureplan 2|1,Birger Jarlsgatan 18. Stureplan 2|2,0.0017690062522888184,2,0.9928721189498901,0.994641125202179,Birger Jarlsgatan 18. Stureplan 2,11,8,True
Björns trädgård|4,Björns trädgård|3,0.003985404968261719,4,0.9892709255218506,0.9932563304901123,Björns trädgård,2,5,True
Bobergsgatan 49-69|10,Bobergsgatan 49-69|3,8.380413055419922e-05,11,0.9989303350448608,0.999014139175415,Bobergsgatan 49-69,2,4,True
Bobergsgatan 49-69|12,Bobergsgatan 49-69|11,0.0011490583419799805,11,0.9976476430892944,0.9987967014312744,Bobergsgatan 49-69,5,4,True
Bobergsgatan 49-69|5,Bobergsgatan 49-69|12,0.0006079673767089844,11,0.997527003288269,0.998134970664978,Bobergsgatan 49-69,2,5,True
Bobergsgatan 49-69|6,Bobergsgatan 49-69|11,0.0005984306335449219,11,0.9985212087631226,0.9991196393966675,Bobergsgatan 49-69,2,4,True
Bobergsgatan 49-69|8,Bobergsgatan 49-69|12,0.0002491474151611328,11,0.9978935718536377,0.9981427192687988,Bobergsgatan 49-69,4,5,True
Bobergsgatan 49-69|9,Bobergsgatan 49-69|12,0.001509547233581543,11,0.9959813356399536,0.9974908828735352,Bobergsgatan 49-69,2,5,True
Bredängsvägen 31|3,Bredängsvägen 31|2,0.000855565071105957,4,0.9981834888458252,0.9990390539169312,Bredängsvägen 31,27,26,True
Brålunden 2|1,Brålunden 2|4,1.8477439880371094e-06,12,0.999080240726471,0.999082088470459,Brålunden 2,29,25,True
Brålunden 2|1,Brålunden 2|8,0.0010443329811096191,12,0.9960481524467468,0.9970924854278564,Brålunden 2,29,26,True
Brålunden 2|1,Brålunden 2|5,0.0031601786613464355,12,0.994701087474823,0.9978612661361694,Brålunden 2,29,29,True
Brålunden 2|11,Brålunden 2|9,0.005584657192230225,12,0.9856632947921753,0.9912479519844055,Brålunden 2,26,26,True
Brålunden 2|12,Brålunden 2|2,0.0030147433280944824,12,0.9913355708122253,0.9943503141403198,Brålunden 2,29,30,True
Brålunden 2|12,Brålunden 2|9,0.0009883642196655273,12,0.9970165491104126,0.9980049133300781,Brålunden 2,29,26,True
Brålunden 2|2,Brålunden 2|6,0.0004999637603759766,12,0.9978985786437988,0.9983985424041748,Brålunden 2,30,25,True
Brålunden 2|3,Brålunden 2|9,0.0012443065643310547,12,0.9975628852844238,0.9988071918487549,Brålunden 2,29,26,True
Brålunden 2|4,Brålunden 2|8,0.0036873817443847656,12,0.9943212270736694,0.9980086088180542,Brålunden 2,25,26,True
Brålunden 2|4,Brålunden 2|5,0.0004851818084716797,12,0.99723219871521,0.9977173805236816,Brålunden 2,25,29,True
Brålunden 2|4,Brålunden 2|7,0.00013840198516845703,12,0.9977016448974609,0.9978400468826294,Brålunden 2,25,29,True
Brålunden 2|5,Brålunden 2|1,0.003444075584411621,12,0.9934961795806885,0.9969402551651001,Brålunden 2,29,29,True
Brålunden 2|5,Brålunden 2|4,0.006403088569641113,12,0.9874300360679626,0.9938331246376038,Brålunden 2,29,25,True
Brålunden 2|7,Brålunden 2|5,6.473064422607422e-05,12,0.9984523057937622,0.9985170364379883,Brålunden 2,29,29,True
Brålunden 2|7,Brålunden 2|5,0.00018471479415893555,12,0.9988934397697449,0.9990781545639038,Brålunden 2,29,29,True
Brålunden 2|9,Brålunden 2|3,0.00014573335647583008,12,0.9982719421386719,0.9984176754951477,Brålunden 2,26,29,True
Bällstavägen 282|1,Bällstavägen 282|2,0.00043201446533203125,2,0.9976806640625,0.998112678527832,Bällstavägen 282,17,19,True
Drottningholmsvägen Abrahamsberg-Stora mossen|1,Drottningholmsvägen Abrahamsberg-Stora mossen|28,0.0008568763732910156,32,0.9917897582054138,0.9926466345787048,Drottningholmsvägen Abrahamsberg-Stora mossen,20,18,True
Drottningholmsvägen Abrahamsberg-Stora mossen|1,Drottningholmsvägen Abrahamsberg-Stora mossen|2,0.0002561807632446289,32,0.9989744424819946,0.9992306232452393,Drottningholmsvägen Abrahamsberg-Stora mossen,20,19,True
Drottningholmsvägen Abrahamsberg-Stora mossen|10,Drottningholmsvägen Abrahamsberg-Stora mossen|23,0.00042378902435302734,32,0.9983152151107788,0.9987390041351318,Drottningholmsvägen Abrahamsberg-Stora mossen,18,18,True
Drottningholmsvägen Abrahamsberg-Stora mossen|10,Drottningholmsvägen Abrahamsberg-Stora mossen|3,0.0002900362014770508,32,0.9988299608230591,0.9991199970245361,Drottningholmsvägen Abrahamsberg-Stora mossen,18,18,True
Drottningholmsvägen Abrahamsberg-Stora mossen|10,Drottningholmsvägen Abrahamsberg-Stora mossen|4,0.0005350708961486816,32,0.9985523819923401,0.9990874528884888,Drottningholmsvägen Abrahamsberg-Stora mossen,18,19,True
Drottningholmsvägen Abrahamsberg-Stora mossen|11,Drottningholmsvägen Abrahamsberg-Stora mossen|14,0.00013142824172973633,32,0.9982274770736694,0.9983589053153992,Drottningholmsvägen Abrahamsberg-Stora mossen,16,17,True
Drottningholmsvägen Abrahamsberg-Stora mossen|11,Drottningholmsvägen Abrahamsberg-Stora mossen|10,0.000849604606628418,32,0.99659264087677,0.9974422454833984,Drottningholmsvägen Abrahamsberg-Stora mossen,16,18,True
Drottningholmsvägen Abrahamsberg-Stora mossen|12,Drottningholmsvägen Abrahamsberg-Stora mossen|16,5.2034854888916016e-05,32,0.9992432594299316,0.9992952942848206,Drottningholmsvägen Abrahamsberg-Stora mossen,17,17,True
Drottningholmsvägen Abrahamsberg-Stora mossen|12,Drottningholmsvägen Abrahamsberg-Stora mossen|15,0.00010883808135986328,32,0.9988358020782471,0.9989446401596069,Drottningholmsvägen Abrahamsberg-Stora mossen,17,18,True
Drottningholmsvägen Abrahamsberg-Stora mossen|13,Drottningholmsvägen Abrahamsberg-Stora mossen|2,0.00021588802337646484,32,0.9986981153488159,0.9989140033721924,Drottningholmsvägen Abrahamsberg-Stora mossen,18,19,True
Drottningholmsvägen Abrahamsberg-Stora mossen|13,Drottningholmsvägen Abrahamsberg-Stora mossen|14,0.0006165504455566406,32,0.9981984496116638,0.9988150000572205,Drottningholmsvägen Abrahamsberg-Stora mossen,18,17,True
Drottningholmsvägen Abrahamsberg-Stora mossen|14,Drottningholmsvägen Abrahamsberg-Stora mossen|4,0.00032407045364379883,32,0.9984779357910156,0.9988020062446594,Drottningholmsvägen Abrahamsberg-Stora mossen,17,19,True
Drottningholmsvägen Abrahamsberg-Stora mossen|15,Drottningholmsvägen Abrahamsberg-Stora mossen|14,0.001160264015197754,32,0.9979363679885864,0.9990966320037842,Drottningholmsvägen Abrahamsberg-Stora mossen,18,17,True
Drottningholmsvägen Abrahamsberg-Stora mossen|15,Drottningholmsvägen Abrahamsberg-Stora mossen|14,0.00013399124145507812,32,0.9978988170623779,0.998032808303833,Drottningholmsvägen Abrahamsberg-Stora mossen,18,17,True
Drottningholmsvägen Abrahamsberg-Stora mossen|16,Drottningholmsvägen Abrahamsberg-Stora mossen|15,0.0005864500999450684,32,0.9982483386993408,0.9988347887992859,Drottningholmsvägen Abrahamsberg-Stora mossen,17,18,True
Drottningholmsvägen Abrahamsberg-Stora mossen|16,Drottningholmsvägen Abrahamsberg-Stora mossen|17,0.0006831884384155273,32,0.9978382587432861,0.9985214471817017,Drottningholmsvägen Abrahamsberg-Stora mossen,17,18,True
Drottningholmsvägen Abrahamsberg-Stora mossen|17,Drottningholmsvägen Abrahamsberg-Stora mossen|1,0.0012919306755065918,32,0.9970909953117371,0.9983829259872437,Drottningholmsvägen Abrahamsberg-Stora mossen,18,20,True
Drottningholmsvägen Abrahamsberg-Stora mossen|17,Drottningholmsvägen Abrahamsberg-Stora mossen|16,0.00026363134384155273,32,0.9987807869911194,0.9990444183349609,Drottningholmsvägen Abrahamsberg-Stora mossen,18,17,True
